"@timestamp per minute",Count
"January 23rd 2018, 00:00:00.000","5,522"
"January 23rd 2018, 01:00:00.000","3,151"
"January 23rd 2018, 02:00:00.000","1,383"
"January 23rd 2018, 03:00:00.000",793
"January 23rd 2018, 04:00:00.000",342
"January 23rd 2018, 05:00:00.000",189
"January 23rd 2018, 06:00:00.000",368
"January 23rd 2018, 07:00:00.000",993
"January 23rd 2018, 08:00:00.000","2,440"
"January 23rd 2018, 09:00:00.000","4,100"
"January 23rd 2018, 10:00:00.000","9,106"
"January 23rd 2018, 11:00:00.000","57,480"
"January 23rd 2018, 12:00:00.000","136,681"
"January 23rd 2018, 13:00:00.000","94,012"
"January 23rd 2018, 14:00:00.000","39,679"
"January 23rd 2018, 15:00:00.000","23,504"
"January 23rd 2018, 16:00:00.000","28,792"
"January 23rd 2018, 17:00:00.000","73,774"
"January 23rd 2018, 18:00:00.000","148,367"
"January 23rd 2018, 19:00:00.000","150,577"
"January 23rd 2018, 20:00:00.000","101,443"
"January 23rd 2018, 21:00:00.000","46,572"
"January 23rd 2018, 22:00:00.000","20,704"
"January 23rd 2018, 23:00:00.000","10,327"
"January 24th 2018, 00:00:00.000","5,514"
"January 24th 2018, 01:00:00.000","3,124"
"January 24th 2018, 02:00:00.000","1,233"
"January 24th 2018, 03:00:00.000",771
"January 24th 2018, 04:00:00.000",434
"January 24th 2018, 05:00:00.000",224
"January 24th 2018, 06:00:00.000",392
"January 24th 2018, 07:00:00.000","1,095"
"January 24th 2018, 08:00:00.000","3,259"
"January 24th 2018, 09:00:00.000","4,770"
"January 24th 2018, 10:00:00.000","10,320"
"January 24th 2018, 11:00:00.000","63,359"
"January 24th 2018, 12:00:00.000","148,026"
"January 24th 2018, 13:00:00.000","97,160"
"January 24th 2018, 14:00:00.000","40,881"
"January 24th 2018, 15:00:00.000","23,891"
"January 24th 2018, 16:00:00.000","29,966"
"January 24th 2018, 17:00:00.000","77,984"
"January 24th 2018, 18:00:00.000","154,666"
